Fund Name,Date,NAV
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2023-11-29,354.338
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2023-11-30,355.3021
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2023-12-01,356.9597
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2023-12-04,361.7929
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2023-12-05,363.739
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2023-12-06,365.218
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2023-12-07,365.0268
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2023-12-08,365.5724
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2023-12-11,366.387
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2023-12-12,364.8091
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2023-12-13,365.261
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2023-12-14,368.5166
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2023-12-15,372.4475
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2023-12-18,372.3698
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2023-12-19,373.2184
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2023-12-20,369.0882
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2023-12-21,371.807
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2023-12-22,372.2365
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2023-12-26,373.2151
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2023-12-27,375.5369
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2023-12-28,377.0619
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2023-12-29,376.9063
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-01-01,377.1609
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-01-02,376.5268
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-01-03,375.2258
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-01-04,377.0175
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-01-05,377.3157
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-01-08,374.3897
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-01-09,374.5439
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-01-10,374.692
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-01-11,375.8585
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-01-12,378.3992
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-01-15,381.5002
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-01-16,380.8411
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-01-17,374.9208
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-01-18,374.9786
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-01-19,377.1968
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-01-23,370.9847
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-01-24,373.8001
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-01-25,372.814
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-01-29,377.3264
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-01-30,374.9089
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-01-31,378.5009
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-02-01,378.4811
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-02-02,379.6174
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-02-05,379.1751
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-02-06,382.6738
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-02-07,382.8912
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-02-08,382.6484
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-02-09,383.3253
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-02-12,380.1703
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-02-13,382.2302
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-02-14,384.0354
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-02-15,386.2939
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-02-16,387.8699
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-02-19,389.1284
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-02-20,389.7251
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-02-21,388.5371
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-02-22,390.6693
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-02-23,390.8162
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-02-26,390.4989
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-02-27,391.0644
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-02-28,387.3735
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-02-29,388.1968
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-03-01,392.1422
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-03-04,392.3083
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-03-05,391.9504
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-03-06,392.3964
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-03-07,392.7407
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-03-11,390.1201
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-03-12,390.1735
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-03-13,384.8533
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-03-14,388.2273
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-03-15,388.0423
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-03-18,388.1252
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-03-19,384.5272
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-03-20,384.3941
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-03-21,387.1143
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-03-22,388.3959
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-03-26,387.389
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-03-27,389.0994
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-03-28,391.6261
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-03-31,391.608
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-04-01,394.5967
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-04-02,395.8352
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-04-03,396.3162
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-04-04,396.865
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-04-05,397.494
