Fund name,Date,NAV
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-06-19,10.6327
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-06-20,10.7157
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-06-21,10.6766
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-06-24,10.6697
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-06-25,10.7346
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-06-26,10.7805
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-06-27,10.7842
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-06-28,10.7666
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-07-01,10.806
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-07-02,10.825
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-07-03,10.8323
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-07-04,10.8445
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-07-05,10.7571
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-07-08,10.5988
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-07-09,10.5903
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-07-10,10.538
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-07-11,10.5816
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-07-12,10.5588
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-07-15,10.5686
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-07-16,10.6259
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-07-17,10.6313
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-07-18,10.576
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-07-19,10.4796
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-07-22,10.4376
