Fund Name,Date,NAV
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-11-11,11.12
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-11-13,11.11
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-11-14,11.14
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-11-15,11.14
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-11-18,11.1
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-11-19,11.09
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-11-20,11.08
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-11-21,11.07
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-11-22,11.02
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-11-25,11.13
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-11-26,11.1
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-11-27,11.17
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-11-28,11.2
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-11-29,11.15
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-12-02,11.14
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-12-03,11.12
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-12-04,11.14
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-12-05,11.12
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-12-06,11.07
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-12-09,11.05
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-12-10,11
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-12-11,11.04
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-12-12,11.07
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-12-13,11.12
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-12-16,11.1
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-12-17,11.19
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-12-18,11.24
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-12-19,11.27
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-12-20,11.28
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-12-23,11.28
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-12-24,11.25
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-12-26,11.22
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-12-27,11.28
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-12-30,11.27
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2019-12-31,11.22
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-01-01,11.22
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-01-02,11.26
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-01-03,11.25
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-01-06,11.1
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-01-07,11.15
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-01-08,11.15
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-01-09,11.27
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-01-10,11.31
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-01-13,11.36
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-01-14,11.38
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-01-15,11.38
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-01-16,11.42
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-01-17,11.43
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-01-20,11.34
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-01-21,11.3
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-01-22,11.28
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-01-23,11.33
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-01-24,11.41
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-01-27,11.35
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-01-28,11.32
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-01-29,11.37
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-01-30,11.31
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-01-31,11.31
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-02-03,11.19
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-02-04,11.38
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-02-05,11.45
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-02-06,11.49
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-02-07,11.47
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-02-10,11.48
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-02-11,11.51
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-02-12,11.61
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-02-13,11.59
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-02-14,11.54
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-02-17,11.49
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-02-18,11.46
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-02-19,11.54
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-02-20,11.52
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-02-24,11.36
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-02-25,11.32
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-02-26,11.25
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-02-27,11.21
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-02-28,10.95
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-03-02,10.89
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-03-03,10.99
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-03-04,10.93
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-03-05,10.97
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-03-06,10.84
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-03-09,10.5
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-03-11,10.48
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-03-12,9.9
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-03-13,10.06
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-03-16,9.61
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-03-17,9.42
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-03-18,9.03
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-03-19,8.84
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-03-20,9.15
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-03-23,8.35
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-03-24,8.44
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-03-25,8.77
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-03-26,9.02
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-03-27,9.09
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-03-30,8.79
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-03-31,8.97
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-04-01,8.77
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-04-03,8.64
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-04-07,9.03
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-04-08,9.04
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-04-09,9.33
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-04-13,9.2
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-04-15,9.12
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-04-16,9.18
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-04-17,9.38
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-04-20,9.38
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-04-21,9.18
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-04-22,9.32
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-04-23,9.42
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-04-24,9.26
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-04-27,9.36
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-04-28,9.43
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-04-29,9.55
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-04-30,9.74
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-05-04,9.37
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-05-05,9.29
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-05-06,9.36
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-05-07,9.31
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-05-08,9.38
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-05-11,9.36
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-05-12,9.33
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-05-13,9.44
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-05-14,9.34
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-05-15,9.34
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-05-18,9.12
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-05-19,9.16
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-05-20,9.3
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-05-21,9.32
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-05-22,9.29
