Fund Name,Date,NAV
BANDHAN Arbitrage Fund - Regular Plan - Growth,2021-10-29,26.0376
BANDHAN Arbitrage Fund - Regular Plan - Growth,2021-11-01,26.0036
BANDHAN Arbitrage Fund - Regular Plan - Growth,2021-11-02,26.0274
BANDHAN Arbitrage Fund - Regular Plan - Growth,2021-11-03,26.0474
BANDHAN Arbitrage Fund - Regular Plan - Growth,2021-11-08,26.0253
BANDHAN Arbitrage Fund - Regular Plan - Growth,2021-11-09,26.0353
BANDHAN Arbitrage Fund - Regular Plan - Growth,2021-11-10,26.0582
BANDHAN Arbitrage Fund - Regular Plan - Growth,2021-11-11,26.0586
BANDHAN Arbitrage Fund - Regular Plan - Growth,2021-11-12,26.056
BANDHAN Arbitrage Fund - Regular Plan - Growth,2021-11-15,26.0636
BANDHAN Arbitrage Fund - Regular Plan - Growth,2021-11-16,26.0829
BANDHAN Arbitrage Fund - Regular Plan - Growth,2021-11-17,26.0866
BANDHAN Arbitrage Fund - Regular Plan - Growth,2021-11-18,26.0905
BANDHAN Arbitrage Fund - Regular Plan - Growth,2021-11-22,26.0975
BANDHAN Arbitrage Fund - Regular Plan - Growth,2021-11-23,26.1204
BANDHAN Arbitrage Fund - Regular Plan - Growth,2021-11-24,26.1231
BANDHAN Arbitrage Fund - Regular Plan - Growth,2021-11-25,26.1135
BANDHAN Arbitrage Fund - Regular Plan - Growth,2021-11-26,26.1427
BANDHAN Arbitrage Fund - Regular Plan - Growth,2021-11-29,26.1426
BANDHAN Arbitrage Fund - Regular Plan - Growth,2021-11-30,26.1384
BANDHAN Arbitrage Fund - Regular Plan - Growth,2021-12-01,26.1188
BANDHAN Arbitrage Fund - Regular Plan - Growth,2021-12-02,26.1244
BANDHAN Arbitrage Fund - Regular Plan - Growth,2021-12-03,26.1231
BANDHAN Arbitrage Fund - Regular Plan - Growth,2021-12-06,26.1332
BANDHAN Arbitrage Fund - Regular Plan - Growth,2021-12-07,26.1133
BANDHAN Arbitrage Fund - Regular Plan - Growth,2021-12-08,26.1163
BANDHAN Arbitrage Fund - Regular Plan - Growth,2021-12-09,26.1157
BANDHAN Arbitrage Fund - Regular Plan - Growth,2021-12-10,26.1173
BANDHAN Arbitrage Fund - Regular Plan - Growth,2021-12-13,26.1029
BANDHAN Arbitrage Fund - Regular Plan - Growth,2021-12-14,26.1235
BANDHAN Arbitrage Fund - Regular Plan - Growth,2021-12-15,26.1229
BANDHAN Arbitrage Fund - Regular Plan - Growth,2021-12-16,26.1169
BANDHAN Arbitrage Fund - Regular Plan - Growth,2021-12-17,26.1483
